Date,Humidity
2018-07-01,56.0
2018-07-02,56.3
2018-07-03,60.7
2018-07-04,56.2
2018-07-05,57.5
2018-07-06,68.4
2018-07-07,75.6
2018-07-08,80.0
2018-07-09,81.7
2018-07-10,80.2
2018-07-11,79.1
2018-07-12,83.0
2018-07-13,79.1
2018-07-14,82.6
2018-07-15,81.5
2018-07-16,80.4
2018-07-17,67.8
2018-07-18,65.3
2018-07-19,64.1
2018-07-20,72.7
2018-07-21,75.0
2018-07-22,65.0
2018-07-23,64.3
2018-07-24,64.0
2018-07-25,62.5
2018-07-26,63.5
2018-07-27,65.0
2018-07-28,63.6
2018-07-29,60.5
2018-07-30,58.5
2018-07-31,58.0
2018-08-01,62.0
2018-08-02,64.5
2018-08-03,61.0
2018-08-04,61.9
2018-08-05,61.1
2018-08-06,63.1
2018-08-07,61.0
2018-08-08,76.6
2018-08-09,65.0
2018-08-10,67.6
2018-08-11,83.0
2018-08-12,80.4
2018-08-13,79.8
2018-08-14,85.9
2018-08-15,82.5
2018-08-16,83.4
2018-08-17,71.9
2018-08-18,71.5
2018-08-19,86.1
2018-08-20,86.5
2018-08-21,74.5
2018-08-22,70.1
2018-08-23,70.2
2018-08-24,70.2
2018-08-25,68.3
2018-08-26,69.9
2018-08-27,77.9
2018-08-28,70.2
2018-08-29,69.6
2018-08-30,66.9
2018-08-31,66.9
2018-09-01,67.6
2018-09-02,67.6
2018-09-03,66.1
2018-09-04,65.0
2018-09-05,63.0
2018-09-06,63.0
2018-09-07,61.8
2018-09-08,60.4
2018-09-09,59.1
2018-09-10,64.0
2018-09-11,69.5
2018-09-12,80.9
2018-09-13,76.1
2018-09-14,73.0
2018-09-15,66.5
2018-09-16,67.4
2018-09-17,73.3
2018-09-18,77.4
2018-09-19,81.6
2018-09-20,77.8
2018-09-21,83.6
2018-09-22,71.9
2018-09-23,73.7
2018-09-24,77.7
2018-09-25,72.6
2018-09-26,75.7
2018-09-27,77.4
2018-09-28,76.3
2018-09-29,75.1
2018-09-30,75.7
2018-10-01,76.8
2018-10-02,71.0
2018-10-03,71.3
2018-10-04,71.0
2018-10-05,68.7
2018-10-06,67.5
2018-10-07,69.7
2018-10-08,67.7
2018-10-09,60.3
2018-10-10,55.9
2018-10-11,53.7
2018-10-12,57.9
2018-10-13,66.1
2018-10-14,64.7
2018-10-15,69.7
2018-10-16,74.8
2018-10-17,79.9
2018-10-18,76.2
2018-10-19,67.9
2018-10-20,63.4
2018-10-21,60.5
2018-10-22,61.5
2018-10-23,59.4
2018-10-24,65.0
2018-10-25,65.3
2018-10-26,60.4
2018-10-27,52.1
2018-10-28,48.4
2018-10-29,44.5
2018-10-30,46.3
2018-10-31,53.3
2018-11-01,70.5
2018-11-02,72.4
2018-11-03,73.8
2018-11-04,68.3
2018-11-05,66.5
2018-11-06,61.3
2018-11-07,60.8
2018-11-08,62.0
2018-11-09,57.7
2018-11-10,52.8
2018-11-11,45.3
2018-11-12,42.7
2018-11-13,41.0
2018-11-14,46.6
2018-11-15,48.7
2018-11-16,70.2
2018-11-17,74.0
2018-11-18,72.2
2018-11-19,72.7
2018-11-20,66.4
2018-11-21,60.2
2018-11-22,66.1
2018-11-23,59.4
2018-11-24,52.8
2018-11-25,47.2
2018-11-26,48.0
2018-11-27,58.7
2018-11-28,63.0
2018-11-29,61.2
2018-11-30,55.9
2018-12-01,56.7
2018-12-02,63.1
2018-12-03,63.5
2018-12-04,69.2
2018-12-05,67.2
2018-12-06,73.0
2018-12-07,74.8
2018-12-08,75.8
2018-12-09,67.8
2018-12-10,72.1
2018-12-11,73.8
2018-12-12,67.1
2018-12-13,70.3
2018-12-14,69.5
2018-12-15,65.9
2018-12-16,58.1
2018-12-17,82.6
2018-12-18,72.1
2018-12-19,72.9
2018-12-20,75.0
2018-12-21,73.8
2018-12-22,72.4
2018-12-23,73.0
2018-12-24,71.3
2018-12-25,63.7
2018-12-26,69.3
2018-12-27,71.0
2018-12-28,49.9
2018-12-29,50.4
2018-12-30,53.3
2018-12-31,47.1
2019-01-01,45.0
2019-01-02,53.3
2019-01-03,53.3
2019-01-04,61.7
2019-01-05,68.9
2019-01-06,67.5
2019-01-07,63.5
2019-01-08,52.9
2019-01-09,43.5
2019-01-10,48.0
2019-01-11,68.5
2019-01-12,65.5
2019-01-13,68.2
2019-01-14,65.8
2019-01-15,58.1
2019-01-16,56.5
2019-01-17,64.4
2019-01-18,64.8
2019-01-19,62.9
2019-01-20,57.7
2019-01-21,63.3
2019-01-22,59.2
2019-01-23,66.7
2019-01-24,66.2
2019-01-25,68.7
2019-01-26,78.4
2019-01-27,87.2
2019-01-28,90.6
2019-01-29,69.8
2019-01-30,50.7
2019-01-31,68.4
2019-02-01,71.5
2019-02-02,70.0
2019-02-03,70.0
2019-02-04,67.2
2019-02-05,66.2
2019-02-06,62.9
2019-02-07,56.2
2019-02-08,69.6
2019-02-09,59.0
2019-02-10,44.6
2019-02-11,71.4
2019-02-12,70.4
2019-02-13,69.9
2019-02-14,64.0
2019-02-15,59.7
