Date,SolarEnergy
2018-07-01,17.0
2018-07-02,21.9
2018-07-03,14.8
2018-07-04,13.1
2018-07-05,14.4
2018-07-06,10.7
2018-07-07,11.4
2018-07-08,7.9
2018-07-09,5.8
2018-07-10,10.0
2018-07-11,8.4
2018-07-12,8.3
2018-07-13,11.6
2018-07-14,7.3
2018-07-15,6.4
2018-07-16,7.4
2018-07-17,19.1
2018-07-18,17.4
2018-07-19,18.8
2018-07-20,9.4
2018-07-21,10.5
2018-07-22,10.8
2018-07-23,16.4
2018-07-24,19.6
2018-07-25,18.8
2018-07-26,19.8
2018-07-27,14.4
2018-07-28,15.7
2018-07-29,21.5
2018-07-30,20.0
2018-07-31,17.3
2018-08-01,16.0
2018-08-02,20.4
2018-08-03,21.6
2018-08-04,20.1
2018-08-05,19.8
2018-08-06,15.5
2018-08-07,13.1
2018-08-08,9.8
2018-08-09,19.0
2018-08-10,11.0
2018-08-11,5.0
2018-08-12,6.0
2018-08-13,10.8
2018-08-14,2.5
2018-08-15,4.8
2018-08-16,10.2
2018-08-17,16.0
2018-08-18,16.4
2018-08-19,4.7
2018-08-20,2.9
2018-08-21,16.9
2018-08-22,17.7
2018-08-23,11.3
2018-08-24,16.3
2018-08-25,14.8
2018-08-26,17.0
2018-08-27,15.5
2018-08-28,20.1
2018-08-29,19.0
2018-08-30,21.7
2018-08-31,20.5
2018-09-01,16.3
2018-09-02,17.6
2018-09-03,21.8
2018-09-04,21.5
2018-09-05,20.7
2018-09-06,14.6
2018-09-07,14.3
2018-09-08,21.8
2018-09-09,19.7
2018-09-10,19.6
2018-09-11,20.5
2018-09-12,18.6
2018-09-13,18.8
2018-09-14,19.7
2018-09-15,20.2
2018-09-16,20.9
2018-09-17,17.2
2018-09-18,20.7
2018-09-19,10.1
2018-09-20,12.2
2018-09-21,5.3
2018-09-22,21.0
2018-09-23,19.8
2018-09-24,20.9
2018-09-25,21.3
2018-09-26,18.1
2018-09-27,20.5
2018-09-28,20.1
2018-09-29,20.0
2018-09-30,20.5
2018-10-01,19.8
2018-10-02,21.0
2018-10-03,21.8
2018-10-04,21.6
2018-10-05,22.4
2018-10-06,22.0
2018-10-07,20.9
2018-10-08,20.3
2018-10-09,20.5
2018-10-10,21.0
2018-10-11,18.1
2018-10-12,20.3
2018-10-13,19.7
2018-10-14,17.3
2018-10-15,17.6
2018-10-16,18.0
2018-10-17,16.5
2018-10-18,14.2
2018-10-19,19.9
2018-10-20,20.0
2018-10-21,20.4
2018-10-22,20.3
2018-10-23,19.4
2018-10-24,16.7
2018-10-25,18.3
2018-10-26,21.2
2018-10-27,22.0
2018-10-28,22.1
2018-10-29,22.3
2018-10-30,21.5
2018-10-31,20.0
2018-11-01,11.0
2018-11-02,14.6
2018-11-03,15.7
2018-11-04,16.0
2018-11-05,17.5
2018-11-06,18.3
2018-11-07,18.0
2018-11-08,17.8
2018-11-09,19.4
2018-11-10,20.7
2018-11-11,21.0
2018-11-12,21.1
2018-11-13,20.9
2018-11-14,20.6
2018-11-15,19.2
2018-11-16,15.3
2018-11-17,14.0
2018-11-18,16.1
2018-11-19,14.8
2018-11-20,17.6
2018-11-21,17.1
2018-11-22,14.2
2018-11-23,10.7
2018-11-24,18.6
2018-11-25,19.5
2018-11-26,19.7
2018-11-27,19.1
2018-11-28,18.3
2018-11-29,17.9
2018-11-30,18.2
2018-12-01,17.0
2018-12-02,14.6
2018-12-03,14.1
2018-12-04,11.7
2018-12-05,10.6
2018-12-06,13.7
2018-12-07,13.5
2018-12-08,13.8
2018-12-09,14.6
2018-12-10,11.5
2018-12-11,9.5
2018-12-12,16.3
2018-12-13,11.6
2018-12-14,15.9
2018-12-15,15.2
2018-12-16,6.0
2018-12-17,4.5
2018-12-18,10.0
2018-12-19,7.3
2018-12-20,11.1
2018-12-21,13.5
2018-12-22,13.6
2018-12-23,14.8
2018-12-24,17.2
2018-12-25,18.5
2018-12-26,14.7
2018-12-27,14.8
2018-12-28,19.2
2018-12-29,19.2
2018-12-30,19.3
2018-12-31,19.7
2019-01-01,19.8
