Date,Temp
2018-07-01,31.5
2018-07-02,31.8
2018-07-03,30.9
2018-07-04,32.0
2018-07-05,31.4
2018-07-06,29.6
2018-07-07,27.8
2018-07-08,27.1
2018-07-09,27.0
2018-07-10,27.3
2018-07-11,27.5
2018-07-12,26.1
2018-07-13,27.4
2018-07-14,27.1
2018-07-15,27.3
2018-07-16,27.4
2018-07-17,29.6
2018-07-18,30.4
2018-07-19,30.4
2018-07-20,28.7
2018-07-21,28.4
2018-07-22,29.4
2018-07-23,30.2
2018-07-24,30.6
2018-07-25,30.7
2018-07-26,30.3
2018-07-27,30.0
2018-07-28,30.2
2018-07-29,30.9
2018-07-30,31.3
2018-07-31,31.1
2018-08-01,30.4
2018-08-02,30.2
2018-08-03,30.7
2018-08-04,30.8
2018-08-05,30.5
2018-08-06,29.8
2018-08-07,29.7
2018-08-08,27.7
2018-08-09,30.0
2018-08-10,29.0
2018-08-11,26.2
2018-08-12,26.5
2018-08-13,26.9
2018-08-14,26.5
2018-08-15,27.2
2018-08-16,26.5
2018-08-17,28.4
2018-08-18,28.6
2018-08-19,26.0
2018-08-20,25.4
2018-08-21,27.8
2018-08-22,28.9
2018-08-23,29.1
2018-08-24,29.0
2018-08-25,29.5
2018-08-26,28.8
2018-08-27,27.6
2018-08-28,28.8
2018-08-29,29.0
2018-08-30,29.7
2018-08-31,29.4
2018-09-01,29.0
2018-09-02,29.2
2018-09-03,29.6
2018-09-04,29.7
2018-09-05,29.6
2018-09-06,29.3
2018-09-07,29.2
2018-09-08,29.7
2018-09-09,29.5
2018-09-10,30.1
2018-09-11,29.8
2018-09-12,28.3
2018-09-13,29.1
2018-09-14,29.2
2018-09-15,30.1
2018-09-16,29.7
2018-09-17,28.0
2018-09-18,27.8
2018-09-19,27.0
2018-09-20,27.7
2018-09-21,26.3
2018-09-22,28.1
2018-09-23,28.7
2018-09-24,29.1
2018-09-25,29.5
2018-09-26,28.5
2018-09-27,28.2
2018-09-28,29.1
2018-09-29,29.2
2018-09-30,29.5
2018-10-01,29.1
2018-10-02,29.6
2018-10-03,29.5
2018-10-04,29.4
2018-10-05,28.6
2018-10-06,28.7
2018-10-07,28.8
2018-10-08,29.2
2018-10-09,28.9
2018-10-10,28.8
2018-10-11,28.2
2018-10-12,28.6
2018-10-13,28.9
2018-10-14,29.5
2018-10-15,29.1
2018-10-16,28.5
2018-10-17,27.4
2018-10-18,27.6
2018-10-19,28.0
2018-10-20,28.5
2018-10-21,29.0
2018-10-22,29.0
2018-10-23,29.8
2018-10-24,28.9
2018-10-25,28.6
2018-10-26,27.6
2018-10-27,26.8
2018-10-28,26.5
2018-10-29,27.0
2018-10-30,27.6
2018-10-31,27.2
2018-11-01,27.3
2018-11-02,27.5
2018-11-03,27.9
2018-11-04,28.7
2018-11-05,28.9
2018-11-06,29.4
2018-11-07,29.2
2018-11-08,28.8
2018-11-09,28.7
2018-11-10,28.2
2018-11-11,26.9
2018-11-12,26.0
2018-11-13,26.1
2018-11-14,26.2
2018-11-15,27.3
2018-11-16,28.0
2018-11-17,28.4
2018-11-18,28.6
2018-11-19,28.4
2018-11-20,28.1
2018-11-21,27.8
2018-11-22,26.2
2018-11-23,26.2
2018-11-24,26.8
2018-11-25,25.9
2018-11-26,25.3
2018-11-27,25.0
2018-11-28,24.8
2018-11-29,25.9
2018-11-30,25.3
2018-12-01,25.8
2018-12-02,25.4
2018-12-03,25.6
2018-12-04,25.6
2018-12-05,26.6
2018-12-06,27.1
2018-12-07,26.8
2018-12-08,26.6
2018-12-09,27.0
2018-12-10,26.4
2018-12-11,26.1
2018-12-12,26.6
2018-12-13,25.9
2018-12-14,25.3
2018-12-15,25.2
2018-12-16,23.2
2018-12-17,20.3
2018-12-18,21.5
2018-12-19,21.3
2018-12-20,22.4
2018-12-21,23.3
2018-12-22,23.5
2018-12-23,24.2
2018-12-24,24.1
2018-12-25,24.4
2018-12-26,25.1
2018-12-27,25.3
2018-12-28,23.8
2018-12-29,21.9
2018-12-30,21.4
2018-12-31,21.1
2019-01-01,20.9
2019-01-02,21.7
2019-01-03,23.6
2019-01-04,22.5
2019-01-05,22.9
2019-01-06,23.3
2019-01-07,23.4
2019-01-08,23.5
2019-01-09,22.0
2019-01-10,22.5
2019-01-11,23.5
2019-01-12,24.0
2019-01-13,23.7
2019-01-14,23.4
2019-01-15,24.4
2019-01-16,24.0
2019-01-17,23.8
2019-01-18,24.3
2019-01-19,23.9
2019-01-20,24.3
2019-01-21,24.6
2019-01-22,24.4
2019-01-23,24.3
2019-01-24,25.2
2019-01-25,25.7
2019-01-26,24.9
2019-01-27,22.6
2019-01-28,21.2
2019-01-29,21.5
2019-01-30,20.8
2019-01-31,21.9
2019-02-01,23.6
2019-02-02,23.1
2019-02-03,24.0
2019-02-04,24.8
2019-02-05,25.0
2019-02-06,25.2
2019-02-07,26.3
2019-02-08,26.1
2019-02-09,25.1
2019-02-10,24.9
2019-02-11,26.0
2019-02-12,25.7
2019-02-13,25.6
2019-02-14,26.2
2019-02-15,27.0
2019-02-16,27.5
2019-02-17,28.2
2019-02-18,28.2
2019-02-19,29.0
2019-02-20,28.6
2019-02-21,27.8
2019-02-22,29.1
2019-02-23,30.2
2019-02-24,30.9
2019-02-25,30.5
2019-02-26,28.6
2019-02-27,28.3
2019-02-28,28.4
2019-03-01,28.8
2019-03-02,28.7
2019-03-03,29.5
2019-03-04,30.3
2019-03-05,30.4
2019-03-06,29.5
2019-03-07,29.2
2019-03-08,30.7
2019-03-09,30.4
2019-03-10,30.6
2019-03-11,31.0
2019-03-12,30.7
2019-03-13,30.9
2019-03-14,31.3
2019-03-15,31.7
2019-03-16,30.6
2019-03-17,29.9
2019-03-18,28.8
2019-03-19,29.9
2019-03-20,30.1
2019-03-21,30.5
2019-03-22,30.2
2019-03-23,31.2
2019-03-24,32.0
2019-03-25,31.6
2019-03-26,31.5
2019-03-27,31.8
2019-03-28,32.0
2019-03-29,32.4
2019-03-30,32.4
2019-03-31,33.0
2019-04-01,33.4
2019-04-02,33.1
2019-04-03,32.2
2019-04-04,31.7
2019-04-05,31.6
2019-04-06,32.3
2019-04-07,32.2
2019-04-08,31.7
2019-04-09,31.8
2019-04-10,32.4
2019-04-11,33.1
2019-04-12,33.4
2019-04-13,33.1
2019-04-14,33.3
2019-04-15,33.7
2019-04-16,33.1
2019-04-17,32.3
2019-04-18,32.4
2019-04-19,31.2
2019-04-20,31.4
2019-04-21,32.4
2019-04-22,31.9
2019-04-23,32.4
2019-04-24,33.1
2019-04-25,33.9
2019-04-26,34.4
2019-04-27,34.8
2019-04-28,34.7
2019-04-29,34.4
2019-04-30,34.1
2019-05-01,33.6
2019-05-02,34.9
2019-05-03,36.2
2019-05-04,35.8
2019-05-05,36.3
2019-05-06,35.9
2019-05-07,35.9
2019-05-08,36.4
2019-05-09,37.1
2019-05-10,35.9
2019-05-11,35.0
2019-05-12,33.9
2019-05-13,33.9
2019-05-14,34.4
2019-05-15,34.7
2019-05-16,34.7
2019-05-17,34.6
2019-05-18,35.9
2019-05-19,36.0
2019-05-20,35.9
2019-05-21,35.3
2019-05-22,35.3
2019-05-23,35.4
2019-05-24,35.5
2019-05-25,36.7
2019-05-26,37.2
2019-05-27,37.4
2019-05-28,37.2
2019-05-29,35.9
2019-05-30,33.9
2019-05-31,35.5
2019-06-01,34.3
2019-06-02,35.2
2019-06-03,33.7
2019-06-04,33.1
2019-06-05,35.6
2019-06-06,34.9
2019-06-07,34.0
2019-06-08,33.5
2019-06-09,34.9
2019-06-10,33.8
2019-06-11,35.1
2019-06-12,35.4
2019-06-13,34.4
2019-06-14,34.4
2019-06-15,34.8
2019-06-16,35.0
2019-06-17,33.7
2019-06-18,35.6
2019-06-19,35.6
2019-06-20,33.7
2019-06-21,30.0
2019-06-22,30.1
2019-06-23,30.6
2019-06-24,30.9
2019-06-25,30.5
2019-06-26,31.7
2019-06-27,33.4
2019-06-28,32.7
2019-06-29,30.0
2019-06-30,29.3
2019-07-01,27.7
2019-07-02,28.5
2019-07-03,29.8
2019-07-04,30.9
2019-07-05,29.6
2019-07-06,30.6
2019-07-07,30.8
2019-07-08,31.3
2019-07-09,31.7
2019-07-10,31.7
2019-07-11,30.2
2019-07-12,31.1
2019-07-13,32.0
2019-07-14,31.9
2019-07-15,31.1
2019-07-16,31.9
2019-07-17,32.2
2019-07-18,31.5
2019-07-19,29.2
2019-07-20,28.9
2019-07-21,30.0
