date,solarenergy,evapotranspiration,rainfallvalue,humidity,temp,soilmoisture,inflow
2018-07-24,19.6,3.29,0.17,64.0,30.6,25.39,10763.888888888896
2018-07-25,18.8,3.03,1.38,62.5,30.7,24.3,3124.999999999995
2018-07-26,19.8,2.45,0.0,63.5,30.3,25.5,18287.037037037036
2018-07-27,14.4,2.27,0.0,65.0,30.0,24.35,8101.851851851853
2018-07-28,15.7,2.34,0.0,63.6,30.2,23.44,0.0
2018-07-29,21.5,2.94,0.0,60.5,30.9,22.08,14814.814814814818
2018-07-30,20.0,3.05,0.4,58.5,31.3,20.57,1504.629629629618
2018-07-31,17.3,2.32,0.75,58.0,31.1,20.76,810.1851851851874
2018-08-01,16.0,2.67,2.83,62.0,30.4,19.68,0.0
2018-08-02,20.4,2.35,1.73,64.5,30.2,21.01,0.0
2018-08-03,21.6,2.5,4.1,61.0,30.7,20.16,0.0
2018-08-04,20.1,2.36,1.48,61.9,30.8,22.92,0.0
2018-08-05,19.8,2.68,2.3,61.1,30.5,22.34,0.0
2018-08-06,15.5,1.66,0.5,63.1,29.8,21.51,0.0
2018-08-07,13.1,1.53,0.12,61.0,29.7,21.35,0.0
2018-08-08,9.8,1.76,2.01,76.6,27.7,21.84,0.0
2018-08-09,19.0,2.62,13.77,65.0,30.0,23.42,0.0
2018-08-10,11.0,2.72,16.14,67.6,29.0,25.26,0.0
2018-08-11,5.0,2.01,1.16,83.0,26.2,27.04,347.22222222221416
2018-08-12,6.0,1.8,10.42,80.4,26.5,29.58,2083.33333333333
2018-08-13,10.8,2.42,0.35,79.8,26.9,30.29,3587.9629629629685
2018-08-14,2.5,2.12,10.91,85.9,26.5,29.57,925.925925925926
2018-08-15,4.8,2.13,2.23,82.5,27.2,34.8,0.0
2018-08-16,10.2,2.58,1.66,83.4,26.5,33.43,5787.037037037037
2018-08-17,16.0,3.78,0.64,71.9,28.4,31.56,72685.18518518518
2018-08-18,16.4,3.43,11.86,71.5,28.6,30.47,9606.481481481484
2018-08-19,4.7,2.31,3.41,86.1,26.0,34.2,5902.777777777775
2018-08-20,2.9,1.6,1.12,86.5,25.4,36.72,5324.074074074083
2018-08-21,16.9,3.75,2.38,74.5,27.8,34.21,5902.777777777775
2018-08-22,17.7,3.92,0.1,70.1,28.9,32.43,3935.185185185183
2018-08-23,11.3,3.76,0.02,70.2,29.1,30.41,3356.4814814814713
2018-08-24,16.3,3.57,0.33,70.2,29.0,28.53,4976.851851851849
2018-08-25,14.8,3.23,7.24,68.3,29.5,26.86,4282.407407407419
2018-08-26,17.0,2.73,1.26,69.9,28.8,28.25,2662.0370370370415
2018-08-27,15.5,2.48,1.16,77.9,27.6,28.42,2893.5185185185187
2018-08-28,20.1,2.88,0.19,70.2,28.8,28.72,2662.037037037021
2018-08-29,19.0,3.17,0.62,69.6,29.0,28.16,1504.6296296296375
2018-08-30,21.7,3.55,0.58,66.9,29.7,26.24,810.1851851851874
2018-08-31,20.5,2.89,0.0,66.9,29.4,25.2,1504.6296296296375
2018-09-01,16.3,2.85,0.05,67.6,29.0,24.27,1157.407407407382
2018-09-02,17.6,2.78,0.21,67.6,29.2,23.09,2777.777777777801
2018-09-03,21.8,2.86,4.09,66.1,29.6,22.82,1620.370370370376
2018-09-04,21.5,2.9,0.01,65.0,29.7,21.47,0.0
2018-09-05,20.7,2.55,0.0,63.0,29.6,20.15,231.48148148151736
2018-09-06,14.6,2.37,0.04,63.0,29.3,19.26,0.0
2018-09-07,14.3,2.31,0.0,61.8,29.2,18.19,0.0
2018-09-08,21.8,2.47,0.0,60.4,29.7,16.97,0.0
2018-09-09,19.7,2.37,0.55,59.1,29.5,15.82,0.0
2018-09-10,19.6,2.17,12.05,64.0,30.1,14.93,0.0
2018-09-11,20.5,1.21,0.71,69.5,29.8,22.06,0.0
2018-09-12,18.6,2.57,0.22,80.9,28.3,22.58,0.0
2018-09-13,18.8,2.53,0.01,76.1,29.1,21.82,0.0
2018-09-14,19.7,2.82,1.36,73.0,29.2,20.48,0.0
2018-09-15,20.2,2.39,11.13,66.5,30.1,20.4,0.0
2018-09-16,20.9,2.49,11.55,67.4,29.7,21.75,0.0
2018-09-17,17.2,1.94,4.3,73.3,28.0,26.09,0.0
2018-09-18,20.7,2.83,13.21,77.4,27.8,29.15,0.0
2018-09-19,10.1,2.78,0.42,81.6,27.0,29.86,0.0
2018-09-20,12.2,2.61,0.86,77.8,27.7,31.3,0.0
2018-09-21,5.3,2.12,0.0,83.6,26.3,33.16,0.0
2018-09-22,21.0,3.75,0.63,71.9,28.1,30.85,0.0
2018-09-23,19.8,3.46,3.34,73.7,28.7,29.32,0.0
2018-09-24,20.9,3.18,4.0,77.7,29.1,29.88,0.0
2018-09-25,21.3,2.85,6.4,72.6,29.5,29.82,0.0
2018-09-26,18.1,2.55,8.0,75.7,28.5,34.47,0.0
2018-09-27,20.5,3.01,2.21,77.4,28.2,34.66,0.0
2018-09-28,20.1,3.08,0.19,76.3,29.1,33.03,0.0
2018-09-29,20.0,3.44,0.6,75.1,29.2,31.29,0.0
2018-09-30,20.5,2.96,1.74,75.7,29.5,29.97,0.0
2018-10-01,19.8,2.77,0.0,76.8,29.1,28.8,0.0
2018-10-02,21.0,1.66,0.05,71.0,29.6,27.8,0.0
2018-10-03,21.8,2.96,0.23,71.3,29.5,26.2,0.0
2018-10-04,21.6,2.79,1.45,71.0,29.4,24.71,0.0
2018-10-05,22.4,2.42,0.05,68.7,28.6,24.0,0.0
2018-10-06,22.0,2.23,0.0,67.5,28.7,23.09,0.0
2018-10-07,20.9,2.66,0.11,69.7,28.8,21.71,0.0
2018-10-08,20.3,2.4,0.0,67.7,29.2,20.49,0.0
2018-10-09,20.5,2.16,0.0,60.3,28.9,19.43,0.0
2018-10-10,21.0,1.76,0.0,55.9,28.8,18.95,0.0
2018-10-11,18.1,1.91,0.0,53.7,28.2,18.05,0.0
2018-10-12,20.3,2.05,0.17,57.9,28.6,17.05,0.0
2018-10-13,19.7,1.81,1.18,66.1,28.9,16.53,0.0
2018-10-14,17.3,1.82,1.45,64.7,29.5,15.78,0.0
2018-10-15,17.6,1.41,6.78,69.7,29.1,15.67,0.0
2018-10-16,18.0,1.55,11.59,74.8,28.5,23.61,0.0
2018-10-17,16.5,1.92,4.77,79.9,27.4,31.77,0.0
